Player Id,Position,Current Status,Experience
2513736,,Retired,3
2523700,,Retired,1
2514295,,Retired,1
79593,,Retired,5
2552444,DE,Active,3
2523136,,Retired,1
2513861,,Retired,3
2557885,TE,Active,0
2527303,,Retired,1
2515030,,Retired,1
2527011,,Retired,3
2523695,,Retired,1
2495791,,Retired,1
2532782,,Retired,3
2522592,,Retired,8
2527241,,Retired,3
2512778,,Retired,2
2553801,TE,Active,1
2503464,,Retired,9
2512828,,Retired,1
2525128,,Retired,2
2541732,,Retired,1
2502679,,Retired,9
2502600,,Retired,10
2525255,,Retired,1
2525335,,Retired,4
2509286,,Retired,1
2504656,,Retired,7
2530581,,Retired,3
2506142,,Retired,1
2512457,,Retired,2
2495275,,Retired,2
2512416,,Retired,1
2524829,,Retired,2
2509130,,Retired,1
494261,SS,Active,8
2519112,,Retired,4
2550164,SS,Active,4
2503572,,Retired,6
2508043,DB,Active,8
2530729,,Retired,1
2523928,,Retired,7
2514740,,Retired,1
2508869,,Retired,3
2500536,,Retired,8
2557450,OT,Active,1
2504395,,Retired,11
2506362,,Retired,7
2523147,,Retired,1
2499376,,Retired,1
2509361,,Retired,2
2507719,,Retired,0
2553790,CB,Active,2
2518652,,Retired,2
2559295,OT,Active,0
2519453,,Retired,5
2550652,,Retired,1
2522114,,Retired,2
2541971,,Retired,1
2515842,,Retired,1
2514196,,Retired,1
2504264,,Retired,9
2520333,,Retired,10
2532877,CB,Active,6
496980,G,Active,8
2557873,OG,Active,0
2513563,,Retired,7
2518101,,Retired,0
2530849,,Retired,1
2527193,,Retired,5
2539307,C,Active,3
2507748,,Retired,1
2543640,QB,Active,4
2524989,,Retired,3
2518471,,Retired,4
2555201,OG,Active,2
2527085,,Retired,1
2495605,,Retired,7
2520035,,Retired,8
2558860,FB,Active,0
2514537,,Retired,12
2512597,,Retired,6
496949,MLB,Unsigned free agent,8
2495809,FS,Active,11
2556677,DE,Active,0
2506618,,Retired,3
2501842,,Retired,9
2541703,,Retired,3
2519456,,Retired,0
2506538,,Retired,3
2514211,,Retired,1
2499510,,Retired,13
2500357,,Retired,1
2507062,,Retired,1
2517709,,Retired,1
2508100,,Retired,1
2500408,,Retired,5
2505404,,Retired,3
2510942,,Retired,1
2495899,,Retired,1
2529686,,Retired,4
2519066,,Retired,2
2507143,,Retired,0
2518265,,Retired,1
2519215,,Retired,1
2505752,,Retired,3
2553355,CB,Active,1
2539642,,Retired,3
2528532,,Retired,1
2527093,,Retired,1
2503962,,Retired,2
2524014,,Retired,3
2503317,,Retired,7
2495253,,Retired,2
2511043,,Retired,1
2506038,,Retired,5
2520254,,Retired,1
2500955,,Retired,1
2532873,DT,Active,6
2520410,,Retired,1
2517703,,Retired,2
2513891,,Retired,2
2500590,,Retired,3
2506645,,Retired,0
2524884,,Retired,1
496806,,Retired,2
2500523,,Retired,6
2543862,G,Active,4
2517656,,Retired,5
2508517,,Retired,2
496784,,Retired,6
2507366,,Retired,2
2507674,,Retired,0
2523024,,Retired,1
2503272,,Retired,4
2500970,,Retired,1
2526988,,Retired,9
2550510,,Retired,2
2513689,,Retired,1
81306,WR,Active,9
2520149,,Retired,1
2520509,,Retired,1
2520102,,Retired,3
2495483,DE,Active,7
2495164,OLB,Active,7
2550190,,Retired,1
1966,,Retired,7
2532859,T,Active,6
2527002,,Retired,1
2540251,OG,Active,4
2504695,,Retired,10
2506654,,Retired,4
2501733,,Retired,11
2517372,,Retired,3
2510914,,Retired,1
2543689,WR,Active,3
2508255,,Retired,13
2558915,DE,Active,0
2505722,,Retired,1
2532905,T,Active,5
2522100,,Retired,3
2558070,LB,Active,0
2550132,T,Active,4
2514951,,Retired,6
2499535,,Retired,2
2531034,,Retired,1
2506635,,Retired,5
2513837,,Retired,4
2528513,,Retired,1
2531045,,Retired,1
2505950,,Retired,3
2499450,,Retired,4
2502284,,Retired,2
71251,SS,Active,9
2527445,,Retired,17
2514998,,Retired,6
2503932,,Retired,2
2525235,,Retired,6
2512752,,Retired,3
2555230,RB,Active,2
2503503,,Retired,9
2552263,CB,Active,3
2495933,,Retired,4
2506442,,Retired,8
2514386,,Retired,1
2504329,,Retired,1
2523115,,Retired,5
2500274,,Retired,8
2556524,OT,Active,2
2505126,,Retired,10
2516009,,Retired,4
2519977,,Retired,11
2504584,,Retired,2
81280,,Retired,4
2495719,,Retired,6
2508982,,Retired,10
2524927,,Retired,2
2559217,LB,Active,0
2505711,,Retired,1
2502333,,Retired,11
2508969,,Retired,2
2499377,,Retired,8
2515987,,Retired,1
2530662,,Retired,2
2519060,,Retired,12
2506924,,Retired,1
2519381,,Retired,8
2550147,OLB,Active,4
2518462,,Retired,9
2505283,,Retired,2
2503577,,Retired,2
2523246,,Retired,2
2508443,,Retired,0
2501065,,Retired,2
2518761,,Retired,5
2559324,WR,Active,0
2535716,,Retired,4
2501384,,Retired,1
2528413,,Retired,2
2558975,RB,Active,0
2515981,,Retired,6
2557731,DE,Active,1
2553600,QB,Active,1
2505824,,Retired,6
2514646,,Retired,5
2550576,,Retired,2
1037913,DB,Active,6
2499371,,Retired,1
2500036,,Retired,1
2508361,,Retired,2
2524130,,Retired,1
2511257,,Retired,8
2508159,,Retired,1
2558866,C,Active,0
2523908,,Retired,1
2522573,,Retired,4
2524990,,Retired,2
2557845,DT,Active,0
2555326,ILB,Active,2
2536452,,Retired,1
2509171,,Retired,2
2522035,,Retired,7
2504257,K,Active,18
2500975,,Retired,9
2523652,,Retired,9
2502819,,Retired,8
2539207,OT,Active,2
2505285,,Retired,1
2500969,,Retired,6
2510997,,Retired,5
2518165,,Retired,4
2518653,,Retired,8
